site_id,configuration_id,relative_frobenius_error,spectral_cosine,rho_structure,quadrant
S01,Uniform-2,0.327355263442868,0.950043523151404,0.7203065134099617,D_low_rho_high_error
S02,Uniform-2,0.28257566110062066,0.9619646347128836,0.8784893267651889,D_low_rho_high_error
S03,Uniform-2,0.4622412057781667,0.8927509618719254,0.33497536945812806,D_low_rho_high_error
S04,Uniform-2,0.4337658040580569,0.9147387458482099,0.9064039408866994,D_low_rho_high_error
S05,Uniform-2,0.21731351738565657,0.9769431601688946,0.696223316912972,C_low_rho_low_error
S06,Uniform-2,0.6458905269782164,0.7832669019475084,0.8149972632731254,D_low_rho_high_error
S07,Uniform-2,0.32627734940041875,0.9551992488199629,0.5593869731800766,D_low_rho_high_error
S08,Uniform-2,0.188186769187737,0.982188174072459,0.8483853311439519,C_low_rho_low_error
S09,Uniform-2,0.2247111066133422,0.9758975425570943,0.7712096332785988,C_low_rho_low_error
S10,Uniform-2,0.3239405714264444,0.9477322571132744,0.8489326765188835,D_low_rho_high_error
S11,Uniform-2,0.2619179051398478,0.9668412076204576,0.793103448275862,D_low_rho_high_error
S12,Uniform-2,0.22640166272725012,0.9741856073723025,0.8160919540229885,C_low_rho_low_error
S13,Uniform-2,0.2430146771654591,0.9703818588393666,0.7903667214012041,C_low_rho_low_error
S14,Uniform-2,0.31438290456055207,0.949691650313351,0.8866995073891626,D_low_rho_high_error
S15,Uniform-2,0.17669130038609385,0.9842665949039989,0.8773946360153256,C_low_rho_low_error
S16,Uniform-2,0.2502829153483109,0.9681814635061259,0.7668308702791461,D_low_rho_high_error
S17,Uniform-2,0.2403465753657079,0.9714743859351791,0.8089764641488779,C_low_rho_low_error
S18,Uniform-2,0.20854544102958084,0.9783206210699391,0.8653530377668308,C_low_rho_low_error
S19,Uniform-2,0.3761516602116632,0.931638160059073,0.9545703338806788,D_low_rho_high_error
S20,Uniform-2,0.290049147215651,0.9642711187497093,0.8604269293924467,D_low_rho_high_error
S21,Uniform-2,0.662074646325469,0.7628724092048386,0.8177339901477831,D_low_rho_high_error
S22,Uniform-2,0.6056297417454498,0.82326233878717,0.8489326765188835,D_low_rho_high_error
S23,Uniform-2,0.2543826308307444,0.968179106193197,0.7728516694033934,D_low_rho_high_error
S24,Uniform-2,0.33013369041102064,0.9440117535998497,0.8489326765188835,D_low_rho_high_error
S25,Uniform-2,0.2725650824699425,0.9650204758189125,0.7909140667761357,D_low_rho_high_error
S26,Uniform-2,0.27576729119338256,0.9622722100514295,0.8149972632731254,D_low_rho_high_error
S27,Uniform-2,0.27385786612778934,0.9619251599407743,0.8773946360153256,D_low_rho_high_error
S28,Uniform-2,0.20888129621251886,0.9779792736314376,0.9315818281335522,C_low_rho_low_error
S30,Uniform-2,0.18703014480420446,0.9823849279456622,0.8106185002736727,C_low_rho_low_error
S01,Uniform-3,0.30757684745122343,0.9574818961531435,0.8171866447728516,D_low_rho_high_error
S02,Uniform-3,0.26930503952799056,0.9664143333877,0.9293924466338259,D_low_rho_high_error
S03,Uniform-3,0.38083239963083904,0.9247508769844942,0.819376026272578,D_low_rho_high_error
S04,Uniform-3,0.43393372731486496,0.9186975621832895,0.9682539682539683,B_high_rho_high_error
S05,Uniform-3,0.18542961706384867,0.9826605831713452,0.8412698412698413,C_low_rho_low_error
S06,Uniform-3,0.6383526079779658,0.7820889947878827,0.9020251778872468,D_low_rho_high_error
S07,Uniform-3,0.31251966721072727,0.9622107253518082,0.8308702791461413,D_low_rho_high_error
S08,Uniform-3,0.17322150653371715,0.9854296411750552,0.8587848932676518,C_low_rho_low_error
