configuration_id,strategy,K,selected_ex,median_reconstruction_error,p10_reconstruction_error,p90_reconstruction_error,worst_reconstruction_error,median_spectral_cosine,p10_spectral_cosine,worst_spectral_cosine,median_supported_fraction,median_unsupported_fraction,median_rho,minimum_rho,rho_ge_090_count,rho_ge_095_count,random_seed,minimum_spacing_nm,rho_perf_percentile,error_perf_percentile
Random-K6-129,Random-fixed,6,300;330;410;430;535;635,0.20195704532585274,0.16546320263513858,0.367976308285253,0.5343922828118232,0.979653071643889,0.9326441112422619,0.8465959203704201,0.9983128464690287,0.0016871535309713184,0.9835796387520527,0.9343185550082101,29,27,42,20,90.7,91.2
Random-K6-204,Random-fixed,6,340;390;415;500;540;620,0.19992946933675187,0.16950056221199775,0.36285916574464955,0.5077201248386629,0.982154472729077,0.9472222197367344,0.8625360752964493,0.9840925524222705,0.015907447577729574,0.9890530925013684,0.9469074986316366,29,28,42,25,99.7,92.80000000000001
Random-K6-221,Random-fixed,6,330;390;440;530;590;635,0.20204204677148474,0.1679744985267739,0.3970874113290685,0.5346126202698349,0.9803751845542187,0.931891357898508,0.8451538081334322,0.9893950349481803,0.010604965051819716,0.9874110563765736,0.9545703338806788,29,29,42,45,98.7,90.60000000000001
Random-K6-279,Random-fixed,6,340;390;410;440;475;495,0.19400457986045977,0.16086519312334827,0.3498069229957408,0.45287695766761465,0.9837728187986433,0.947607438408778,0.893595020848992,0.9840925524222705,0.015907447577729574,0.9835796387520527,0.8998357963875205,28,27,42,20,90.7,96.39999999999999
Random-K6-307,Random-fixed,6,335;390;415;475;545;695,0.2026414775188771,0.16907942974728227,0.37743692482004504,0.5037715397580163,0.980432934705273,0.9351684427512776,0.8643492900349231,0.9891540130151844,0.010845986984815618,0.9846743295019157,0.9463601532567051,29,28,42,25,93.7,90.4
Random-K6-388,Random-fixed,6,305;340;395;415;455;560,0.17011279550658143,0.14818775594059913,0.4806375001979919,0.493131739563337,0.9859434847799327,0.9117435982179106,0.8733845618542416,0.997589780670041,0.002410219329959026,0.9835796387520527,0.9578544061302682,29,29,42,20,90.7,100.0
Random-K6-393,Random-fixed,6,330;400;435;480;595;690,0.19741715667680979,0.16279474313479989,0.3789191378837703,0.5325636821961482,0.9803854318329388,0.9344596636653565,0.8491311262830088,0.9893950349481803,0.010604965051819716,0.9863163656267103,0.9239189928845101,29,28,42,35,96.7,94.39999999999999
Random-K6-420,Random-fixed,6,325;415;460;510;540;625,0.20299295366917325,0.1699233033017243,0.4044036317351772,0.5795597298926987,0.9792477364036912,0.9196437756391227,0.8186054720223427,0.9910821884791516,0.008917811520848397,0.9874110563765736,0.9704433497536945,29,29,42,30,98.7,90.2
Random-K6-476,Random-fixed,6,325;355;415;440;510;615,0.1934878816650985,0.16158033910978453,0.3770869262808754,0.5144942006744774,0.9824104085933142,0.9387751527230171,0.8577525021131969,0.9930103639431188,0.0069896360568811764,0.9846743295019157,0.9660645867542419,29,29,42,25,93.7,97.0
Random-K6-494,Random-fixed,6,305;360;405;435;620;685,0.18269205258069396,0.15316591772517696,0.31380279265183586,0.5112389314063531,0.9831804483705113,0.9485984471651845,0.8609057047219326,0.997589780670041,0.002410219329959026,0.9863163656267103,0.9627805145046523,29,29,42,30,96.7,98.6
