site_id,strategy,K,selected_ex,selected_ex_span_nm,lower_edge_gap_nm,upper_edge_gap_nm,relative_frobenius_error_fullrange,relative_frobenius_error_interpdomain,spectral_cosine_fullrange,reconstruction_supported_fraction_fullrange,unsupported_fraction_fullrange
S01,NAIG,2,425;360,65,60,275,0.3431711049907139,0.25825618378821796,0.9420221537173884,0.9715594119064835,0.02844058809351651
S01,NAIG,3,425;360;620,260,60,80,0.33794522555870854,0.33263695333607884,0.9443040161152336,0.9715594119064835,0.02844058809351651
S01,NAIG,4,425;360;620;500,260,60,80,0.3420752980869568,0.33555279234797863,0.9439581438091406,0.9715594119064835,0.02844058809351651
S01,NAIG,6,425;360;620;500;465;305,315,5,80,0.3345113561969025,0.33626874718537075,0.9436158097790279,0.997589780670041,0.002410219329959026
S01,NAIG,8,425;360;620;500;465;305;540;660,355,5,40,0.33695216768417197,0.3370222096580074,0.9415876295387926,0.997589780670041,0.002410219329959026
S01,Uniform,2,300;700,400,0,0,0.327355263442868,0.327355263442868,0.950043523151404,0.9115449505905038,0.08845504940949626
S01,Uniform,3,300;500;700,400,0,0,0.30757684745122343,0.30757684745122343,0.9574818961531435,0.9363702096890817,0.0636297903109183
S01,Uniform,4,300;435;565;700,400,0,0,0.3116320509885442,0.3116320509885442,0.9531934357656187,0.9983128464690287,0.0016871535309713184
S01,Uniform,6,300;380;460;540;620;700,400,0,0,0.21981975094758682,0.21981975094758682,0.9759571781574108,0.9983128464690287,0.0016871535309713184
S01,Uniform,8,300;355;415;470;530;585;645;700,400,0,0,0.18686362580781685,0.18686362580781685,0.9825785527360721,0.9983128464690287,0.0016871535309713184
S02,NAIG,2,365;620,255,65,80,0.2865436128203683,0.3192341124666924,0.9581198508447449,0.9681851048445409,0.03181489515545915
S02,NAIG,3,365;620;450,255,65,80,0.2894734227446678,0.31492104476860366,0.957471065512639,0.9681851048445409,0.03181489515545915
S02,NAIG,4,365;620;450;695,330,65,5,0.2866160834275745,0.3124083041847794,0.9582257302870886,0.9681851048445409,0.03181489515545915
