site_id,outer_fold,strategy,K,selected_ex,selected_ex_span_nm,lower_edge_gap_nm,upper_edge_gap_nm,rho_structure,relative_frobenius_error_fullrange,nrmse_energy_fullrange,spectral_cosine_fullrange,reconstruction_supported_fraction_fullrange,single_support_fraction_fullrange,unsupported_fraction_fullrange,target_positions_fullrange,supported_positions_fullrange,single_support_positions_fullrange,unsupported_positions_fullrange,relative_frobenius_error_interpdomain,nrmse_energy_interpdomain,spectral_cosine_interpdomain,reconstruction_supported_fraction_interpdomain,single_support_fraction_interpdomain,unsupported_fraction_interpdomain,target_positions_interpdomain,supported_positions_interpdomain,single_support_positions_interpdomain,unsupported_positions_interpdomain,relative_frobenius_error_edgeonly,nrmse_energy_edgeonly,spectral_cosine_edgeonly,reconstruction_supported_fraction_edgeonly,single_support_fraction_edgeonly,unsupported_fraction_edgeonly,target_positions_edgeonly,supported_positions_edgeonly,single_support_positions_edgeonly,unsupported_positions_edgeonly,reconstruction_supported_fraction,single_support_fraction,unsupported_fraction
S01,0,NAIG,2,425;360,65,60,275,0.9370552818828682,0.3431711049907139,0.34317110499071396,0.9420221537173884,0.9715594119064835,0.19233550253073028,0.02844058809351651,4149,4031,798,118,0.25825618378821796,0.2582561837882179,0.9666708127872115,0.9763374485596708,0.18724279835390947,0.023662551440329218,972,949,182,23,0.37760933510614864,0.37760933510614864,0.9334168087774428,0.9700975763298709,0.1938936103242052,0.029902423670129054,3177,3082,616,95,0.9715594119064835,0.19233550253073028,0.02844058809351651
S01,0,NAIG,3,425;360;620,260,60,80,0.9403393541324576,0.33794522555870854,0.33794522555870854,0.9443040161152336,0.9715594119064835,0.06869125090383225,0.02844058809351651,4149,4031,285,118,0.33263695333607884,0.33263695333607884,0.9432985447864176,0.991812032751869,0.051263794944820223,0.008187967248131008,2809,2786,144,23,0.3502551368531149,0.3502551368531148,0.9555293363919811,0.9291044776119403,0.10522388059701493,0.0708955223880597,1340,1245,141,95,0.9715594119064835,0.06869125090383225,0.02844058809351651
S01,0,NAIG,4,425;360;620;500,260,60,80,0.9354132457580736,0.3420752980869568,0.34207529808695686,0.9439581438091406,0.9715594119064835,0.06869125090383225,0.02844058809351651,4149,4031,285,118,0.33555279234797863,0.3355527923479787,0.9426080823906029,0.991812032751869,0.051263794944820223,0.008187967248131008,2809,2786,144,23,0.3571196069867286,0.3571196069867286,0.9560853607946557,0.9291044776119403,0.10522388059701493,0.0708955223880597,1340,1245,141,95,0.9715594119064835,0.06869125090383225,0.02844058809351651
S01,0,NAIG,6,425;360;620;500;465;305,315,5,80,0.9239189928845104,0.3345113561969025,0.3345113561969025,0.9436158097790279,0.997589780670041,0.026030368763557483,0.002410219329959026,4149,4139,108,10,0.33626874718537075,0.3362687471853707,0.9441430310397813,0.9978260869565218,0.026630434782608695,0.002173913043478261,3680,3672,98,8,0.3053820892257115,0.3053820892257115,0.9688734914723147,0.9957356076759062,0.021321961620469083,0.0042643923240938165,469,467,10,2,0.997589780670041,0.026030368763557483,0.002410219329959026
S01,0,NAIG,8,425;360;620;500;465;305;540;660,355,5,40,0.9195402298850576,0.33695216768417197,0.33695216768417197,0.9415876295387926,0.997589780670041,0.026030368763557483,0.002410219329959026,4149,4139,108,10,0.3370222096580074,0.33702220965800733,0.9417091586937494,0.997948717948718,0.025128205128205128,0.0020512820512820513,3900,3892,98,8,0.33518296791512253,0.3351829679151226,0.9575526592598901,0.9919678714859438,0.040160642570281124,0.008032128514056224,249,247,10,2,0.997589780670041,0.026030368763557483,0.002410219329959026
S01,0,Uniform,2,300;700,400,0,0,0.7203065134099618,0.327355263442868,0.327355263442868,0.950043523151404,0.9115449505905038,0.606411183417691,0.08845504940949626,4149,3782,2516,367,0.327355263442868,0.327355263442868,0.950043523151404,0.9115449505905038,0.606411183417691,0.08845504940949626,4149,3782,2516,367,,,,,,,0,0,0,0,0.9115449505905038,0.606411183417691,0.08845504940949626
S01,0,Uniform,3,300;500;700,400,0,0,0.8171866447728517,0.30757684745122343,0.30757684745122343,0.9574818961531435,0.9363702096890817,0.18775608580380815,0.0636297903109183,4149,3885,779,264,0.30757684745122343,0.30757684745122343,0.9574818961531435,0.9363702096890817,0.18775608580380815,0.0636297903109183,4149,3885,779,264,,,,,,,0,0,0,0,0.9363702096890817,0.18775608580380815,0.0636297903109183
S01,0,Uniform,4,300;435;565;700,400,0,0,0.9069512862616312,0.3116320509885442,0.3116320509885442,0.9531934357656187,0.9983128464690287,0.1099060014461316,0.0016871535309713184,4149,4142,456,7,0.3116320509885442,0.3116320509885442,0.9531934357656187,0.9983128464690287,0.1099060014461316,0.0016871535309713184,4149,4142,456,7,,,,,,,0,0,0,0,0.9983128464690287,0.1099060014461316,0.0016871535309713184
S01,0,Uniform,6,300;380;460;540;620;700,400,0,0,0.8582375478927203,0.21981975094758682,0.21981975094758682,0.9759571781574108,0.9983128464690287,0.04338394793926247,0.0016871535309713184,4149,4142,180,7,0.21981975094758682,0.21981975094758682,0.9759571781574108,0.9983128464690287,0.04338394793926247,0.0016871535309713184,4149,4142,180,7,,,,,,,0,0,0,0,0.9983128464690287,0.04338394793926247,0.0016871535309713184
S01,0,Uniform,8,300;355;415;470;530;585;645;700,400,0,0,0.949096880131363,0.18686362580781685,0.18686362580781682,0.9825785527360721,0.9983128464690287,0.023620149433598456,0.0016871535309713184,4149,4142,98,7,0.18686362580781685,0.18686362580781682,0.9825785527360721,0.9983128464690287,0.023620149433598456,0.0016871535309713184,4149,4142,98,7,,,,,,,0,0,0,0,0.9983128464690287,0.023620149433598456,0.0016871535309713184
