site_id,outer_fold,strategy,K,selected_ex,relative_frobenius_error_fullrange,relative_frobenius_error_interpdomain,nrmse_energy_fullrange,spectral_cosine_fullrange,spectral_cosine_interpdomain,n_eval_fullrange,n_eval_interpdomain,rho_structure
S01,0,NAIG,2,425;360,0.35981867351359137,0.14875810400669232,0.35981867351359137,0.9491612357010553,0.9888743410371407,4031,949,0.9370552818828682
S01,0,NAIG,3,425;360;620,0.2377265029514943,0.25056616173793517,0.23772650295149433,0.9732634400015835,0.9697609250544237,4031,2786,0.9403393541324576
S01,0,NAIG,4,425;360;620;500,0.21562862374790243,0.2205606870715594,0.2156286237479025,0.9766404212341507,0.975392154183785,4031,2786,0.9354132457580736
S01,0,NAIG,6,425;360;620;500;465;305,0.2013738696895371,0.20272504757311632,0.20137386968953713,0.9799159185371829,0.9797503311498466,4139,3672,0.9239189928845104
S01,0,NAIG,8,425;360;620;500;465;305;540;660,0.20226890384944424,0.20356025268933728,0.20226890384944424,0.9796560869949544,0.9794185474042035,4139,3892,0.9195402298850576
S01,0,Uniform,2,300;700,0.327355263442868,0.327355263442868,0.327355263442868,0.950043523151404,0.950043523151404,3782,3782,0.7203065134099618
S01,0,Uniform,3,300;500;700,0.30757684745122343,0.30757684745122343,0.30757684745122343,0.9574818961531435,0.9574818961531435,3885,3885,0.8171866447728517
S01,0,Uniform,4,300;435;565;700,0.3116320509885442,0.3116320509885442,0.3116320509885442,0.9531934357656187,0.9531934357656187,4142,4142,0.9069512862616312
S01,0,Uniform,6,300;380;460;540;620;700,0.21981975094758682,0.21981975094758682,0.21981975094758682,0.9759571781574108,0.9759571781574108,4142,4142,0.8582375478927203
S01,0,Uniform,8,300;355;415;470;530;585;645;700,0.18686362580781685,0.18686362580781685,0.18686362580781682,0.9825785527360721,0.9825785527360721,4142,4142,0.949096880131363
S02,1,NAIG,2,365;620,0.2865436128203683,0.3192341124666924,0.2865436128203682,0.9581198508447449,0.9486929618498642,4017,2712,0.9578544061302684
S02,1,NAIG,3,365;620;450,0.24935987356929584,0.2668315309812989,0.24935987356929581,0.9684385807719327,0.9647123977891354,4017,2712,0.8741105637657363
S02,1,NAIG,4,365;620;450;695,0.24646694785644613,0.2601132578244431,0.24646694785644616,0.9691898368964909,0.9665417896273454,4017,3079,0.875752599890531
S02,1,NAIG,6,365;620;450;695;545;425,0.23372525802722316,0.2337391562591998,0.23372525802722316,0.9750120027089354,0.9744445616461043,4017,3079,0.9469074986316368
S02,1,NAIG,8,365;620;450;695;545;425;475;505,0.2242828800874828,0.22022733415586745,0.22428288008748276,0.9771051388561643,0.9774329792741953,4017,3079,0.94471811713191
S02,1,Uniform,2,300;700,0.28257566110062066,0.28257566110062066,0.2825756611006207,0.9619646347128836,0.9619646347128836,3782,3782,0.878489326765189
S02,1,Uniform,3,300;500;700,0.26930503952799056,0.26930503952799056,0.2693050395279905,0.9664143333877,0.9664143333877,3885,3885,0.929392446633826
S02,1,Uniform,4,300;435;565;700,0.26090684514436874,0.26090684514436874,0.26090684514436874,0.9654460085729322,0.9654460085729322,4142,4142,0.955665024630542
S02,1,Uniform,6,300;380;460;540;620;700,0.20980978589186977,0.20980978589186977,0.20980978589186972,0.978491424264273,0.978491424264273,4142,4142,0.9753694581280788
S02,1,Uniform,8,300;355;415;470;530;585;645;700,0.19434151799463312,0.19434151799463312,0.19434151799463312,0.9816294751453801,0.9816294751453801,4142,4142,0.9863163656267104
S03,2,NAIG,2,470;545,0.7777479969515391,0.5721852972859857,0.7777479969515391,0.8682671970964001,0.9510720389855389,3536,773,0.3979200875752601
S03,2,NAIG,3,470;545;620,0.6101602573885209,0.40078442340348386,0.6101602573885208,0.901778812704232,0.9741008762581859,3536,1299,0.4094143404488232
S03,2,NAIG,4,470;545;620;425,0.40203593631758383,0.28563424864390863,0.4020359363175838,0.9336134145450538,0.974939415264656,3878,1896,0.6568144499178982
S03,2,NAIG,6,470;545;620;425;375;305,0.216664014410118,0.2174809886776256,0.216664014410118,0.9787044482977477,0.9788453381429819,4139,3672,0.935960591133005
S03,2,NAIG,8,470;545;620;425;375;305;445;675,0.21203665161036428,0.21300085047147008,0.2120366516103643,0.979934653822489,0.9797628314869062,4139,3961,0.929392446633826
S03,2,Uniform,2,300;700,0.4622412057781667,0.4622412057781667,0.46224120577816674,0.8927509618719254,0.8927509618719254,3782,3782,0.3349753694581281
S03,2,Uniform,3,300;500;700,0.38083239963083904,0.38083239963083904,0.38083239963083904,0.9247508769844942,0.9247508769844942,3885,3885,0.8193760262725781
S03,2,Uniform,4,300;435;565;700,0.33647287329574027,0.33647287329574027,0.3364728732957403,0.9457036006607438,0.9457036006607438,4142,4142,0.9014778325123152
S03,2,Uniform,6,300;380;460;540;620;700,0.18670084578600563,0.18670084578600563,0.18670084578600565,0.9824227513217737,0.9824227513217737,4142,4142,0.9403393541324576
S03,2,Uniform,8,300;355;415;470;530;585;645;700,0.17345983799122053,0.17345983799122053,0.17345983799122058,0.9863949282249332,0.9863949282249332,4142,4142,0.9824849480021896
S04,3,NAIG,2,425;360,0.3864584615277448,0.47647146275253976,0.38645846152774477,0.9378586766989322,0.9267653369489003,4031,949,0.9841269841269844
S04,3,NAIG,3,425;360;620,0.385401230800743,0.5268856981025898,0.38540123080074307,0.9377513494976896,0.9195852887479847,4031,2786,0.9868637110016422
S04,3,NAIG,4,425;360;620;465,0.3480407979598944,0.4429710925515318,0.34804079795989445,0.9459251603220361,0.9315276627952862,4031,2786,0.9737274220032844
S04,3,NAIG,6,425;360;620;465;545;525,0.3445828568747947,0.43473794649966924,0.34458285687479473,0.9466017679808374,0.9323239887101002,4031,2786,0.9770114942528736
S04,3,NAIG,8,425;360;620;465;545;525;505;695,0.34335537555844114,0.42759199239352913,0.3433553755584412,0.9467785953992062,0.9331529557311894,4031,3153,0.9786535303776684
S04,3,Uniform,2,300;700,0.4337658040580569,0.4337658040580569,0.43376580405805687,0.9147387458482099,0.9147387458482099,3782,3782,0.9064039408866996
S04,3,Uniform,3,300;500;700,0.43393372731486496,0.43393372731486496,0.433933727314865,0.9186975621832895,0.9186975621832895,3885,3885,0.9682539682539684
S04,3,Uniform,4,300;435;565;700,0.4423983051400265,0.4423983051400265,0.44239830514002654,0.9176312606851779,0.9176312606851779,4142,4142,0.9792008757526
S04,3,Uniform,6,300;380;460;540;620;700,0.4250998923174594,0.4250998923174594,0.4250998923174594,0.912732612465352,0.912732612465352,4142,4142,0.9906951286261632
S04,3,Uniform,8,300;355;415;470;530;585;645;700,0.3580493935409186,0.3580493935409186,0.35804939354091875,0.9349537912339788,0.9349537912339788,4142,4142,0.9928845101258896
S05,4,NAIG,2,365;620,0.20556275510622873,0.21583387133354143,0.20556275510622876,0.9794508008308539,0.9795618829797763,4017,2712,0.8385331143951834
S05,4,NAIG,3,365;620;435,0.18921102809726673,0.18738154823484598,0.18921102809726675,0.9821340641728008,0.983295536215995,4017,2712,0.9627805145046526
S05,4,NAIG,4,365;620;435;545,0.18633339795130885,0.18296663098739774,0.18633339795130888,0.9826203364758028,0.9838679699161512,4017,2712,0.9644225506294472
S05,4,NAIG,6,365;620;435;545;475;345,0.18945550974983377,0.17736684546277173,0.1894555097498338,0.9828016640315677,0.9846202447730653,4120,3031,0.9846743295019158
S05,4,NAIG,8,365;620;435;545;475;345;305;505,0.1641269895069584,0.16381192961161783,0.1641269895069584,0.9866547314885248,0.9867294902897489,4139,3672,0.9863163656267104
S05,4,Uniform,2,300;700,0.21731351738565657,0.21731351738565657,0.2173135173856566,0.9769431601688946,0.9769431601688946,3782,3782,0.6962233169129721
S05,4,Uniform,3,300;500;700,0.18542961706384867,0.18542961706384867,0.1854296170638487,0.9826605831713452,0.9826605831713452,3885,3885,0.8412698412698415
S05,4,Uniform,4,300;435;565;700,0.18870620654576012,0.18870620654576012,0.1887062065457601,0.9820443288479297,0.9820443288479297,4142,4142,0.9195402298850576
S05,4,Uniform,6,300;380;460;540;620;700,0.17843954044056512,0.17843954044056512,0.17843954044056512,0.9840413075470806,0.9840413075470806,4142,4142,0.9430760810071156
S05,4,Uniform,8,300;355;415;470;530;585;645;700,0.1719851548689386,0.1719851548689386,0.1719851548689386,0.9860141034011202,0.9860141034011202,4142,4142,0.9852216748768474
S06,5,NAIG,2,365;425,0.6101482217164914,0.4871653031888763,0.6101482217164914,0.8060942325072347,0.8752345043020758,4017,875,0.9693486590038316
S06,5,NAIG,3,365;425;610,0.609841765940359,0.5344455345314476,0.609841765940359,0.8053492256866607,0.8482870461034987,4017,2655,0.9781061850027368
S06,5,NAIG,4,365;425;610;545,0.610279076113083,0.5351310036074541,0.610279076113083,0.8058416011273153,0.8471192927353666,4017,2655,0.9770114942528736
S06,5,NAIG,6,365;425;610;545;505;450,0.5619157347365707,0.4614505193283106,0.5619157347365707,0.844437684832514,0.8872234651080733,4017,2655,0.9436234263820472
S06,5,NAIG,8,365;425;610;545;505;450;305;695,0.504973535821501,0.5076713476224992,0.5049735358215011,0.8636200388216064,0.8620973996042314,4139,4039,0.9688013136289
S06,5,Uniform,2,300;700,0.6458905269782164,0.6458905269782164,0.6458905269782164,0.7832669019475084,0.7832669019475084,3782,3782,0.8149972632731254
S06,5,Uniform,3,300;500;700,0.6383526079779658,0.6383526079779658,0.6383526079779658,0.7820889947878827,0.7820889947878827,3885,3885,0.9020251778872468
S06,5,Uniform,4,300;435;565;700,0.627489671410028,0.627489671410028,0.6274896714100279,0.7789630282734716,0.7789630282734716,4142,4142,0.9830322933771212
S06,5,Uniform,6,300;380;460;540;620;700,0.5648078342247765,0.5648078342247765,0.5648078342247765,0.8285099263059743,0.8285099263059743,4142,4142,0.981937602627258
S06,5,Uniform,8,300;355;415;470;530;585;645;700,0.5449812609236478,0.5449812609236478,0.5449812609236477,0.8385035477711716,0.8385035477711716,4142,4142,0.9906951286261632
S07,6,NAIG,2,365;425,0.2716464068492699,0.21296391325407035,0.2716464068492699,0.9657966596222051,0.9792811769491409,4017,875,0.8659003831417625
S07,6,NAIG,3,365;425;480,0.2730020780733993,0.2753704641920684,0.2730020780733994,0.964826273426123,0.9623966782620836,4017,1548,0.8461959496442256
S07,6,NAIG,4,365;425;480;575,0.2681816454573231,0.28230307653718034,0.2681816454573231,0.9655673217000074,0.9598948734334525,4017,2423,0.8872468527640942
S07,6,NAIG,6,365;425;480;575;510;305,0.2460427092607892,0.24819161016414584,0.24604270926078917,0.9701946257060243,0.969690947547067,4139,3383,0.9540229885057474
