strategy,K,n_sites,median_reconstruction_error_fullrange,p10_reconstruction_error_fullrange,worst_reconstruction_error_fullrange,median_reconstruction_error_interpdomain,median_spectral_cosine_fullrange,p10_spectral_cosine_fullrange,worst_spectral_cosine_fullrange,median_rho_structure,spearman_error_vs_rho
NAIG,2,29,0.24521383013235956,0.18458963550764668,0.7777479969515391,0.22303372246041756,0.9701265846523147,0.8614878653437662,0.7569746694220071,0.9430760810071156,0.09015888724625438
NAIG,3,29,0.2380365385146819,0.18339767812515165,0.6838199009775067,0.24822797388622522,0.9727319244355868,0.8932432736313642,0.7702788352066114,0.9540229885057472,0.025868441287645615
NAIG,4,29,0.23122041265874002,0.18053387374814625,0.6837092621523367,0.22939358143076138,0.9740240751271871,0.9202293334408519,0.7702804925059125,0.9562123700054737,-0.10173666784891548
NAIG,6,29,0.21220583965492415,0.17306205189186788,0.637880805202449,0.2174809886776256,0.9787044482977477,0.9318506945670243,0.808851907010382,0.9540229885057474,-0.17023898028345827
NAIG,8,29,0.20792677530260753,0.15717409524610765,0.5926734728418458,0.18392459564149508,0.9796560869949544,0.9385694473128907,0.8394185457886456,0.970990695128626,-0.25843804676895477
Uniform,2,29,0.27385786612778934,0.20447370666121206,0.662074646325469,0.27385786612778934,0.9642711187497093,0.8788532372549743,0.7628724092048386,0.8160919540229885,0.05888149969283144
Uniform,3,29,0.2572379138865162,0.18242382491612666,0.6437700972203241,0.2572379138865162,0.9709158932662498,0.9023694899310923,0.7820889947878827,0.9129720853858784,0.06305418719211821
Uniform,4,29,0.2637237504303027,0.18635732901101415,0.6398349795176516,0.2637237504303027,0.9680782169563975,0.9001903947402187,0.7708309291668166,0.9589490968801314,0.21173286538152647
Uniform,6,29,0.21981975094758682,0.17768987822220644,0.5742383875419789,0.21981975094758682,0.9759571781574108,0.906777661818186,0.8212778860219655,0.9715380405035576,0.5296871311279816
Uniform,8,29,0.19199236371468273,0.15993414990662538,0.5493426874227995,0.19199236371468273,0.9817267040528744,0.9249070946384315,0.8358212260565356,0.9868637110016422,0.29187734271224064
