panel_role,site_id,outer_fold,strategy,K,selected_ex,selected_ex_span_nm,lower_edge_gap_nm,upper_edge_gap_nm,rho_structure,relative_frobenius_error_fullrange,nrmse_energy_fullrange,spectral_cosine_fullrange,reconstruction_supported_fraction_fullrange,single_support_fraction_fullrange,unsupported_fraction_fullrange,target_positions_fullrange,supported_positions_fullrange,single_support_positions_fullrange,unsupported_positions_fullrange,relative_frobenius_error_interpdomain,nrmse_energy_interpdomain,spectral_cosine_interpdomain,reconstruction_supported_fraction_interpdomain,single_support_fraction_interpdomain,unsupported_fraction_interpdomain,target_positions_interpdomain,supported_positions_interpdomain,single_support_positions_interpdomain,unsupported_positions_interpdomain,relative_frobenius_error_edgeonly,nrmse_energy_edgeonly,spectral_cosine_edgeonly,reconstruction_supported_fraction_edgeonly,single_support_fraction_edgeonly,unsupported_fraction_edgeonly,target_positions_edgeonly,supported_positions_edgeonly,single_support_positions_edgeonly,unsupported_positions_edgeonly,reconstruction_supported_fraction,single_support_fraction,unsupported_fraction
representative_main_scan,S01,0,NAIG,4,425;360;620;500,260,60,80,0.9354132457580736,0.3420752980869568,0.3420752980869568,0.9439581438091406,0.9715594119064836,0.0686912509038322,0.0284405880935165,4149,4031,285,118,0.3355527923479786,0.3355527923479787,0.9426080823906028,0.991812032751869,0.0512637949448202,0.008187967248131,2809,2786,144,23,0.3571196069867286,0.3571196069867286,0.9560853607946556,0.9291044776119404,0.1052238805970149,0.0708955223880597,1340,1245,141,95,0.9715594119064836,0.0686912509038322,0.0284405880935165
representative_main_scan,S01,0,NAIG,6,425;360;620;500;465;305,315,5,80,0.9239189928845104,0.3345113561969025,0.3345113561969025,0.943615809779028,0.997589780670041,0.0260303687635574,0.002410219329959,4149,4139,108,10,0.3362687471853707,0.3362687471853707,0.9441430310397813,0.9978260869565218,0.0266304347826086,0.0021739130434782,3680,3672,98,8,0.3053820892257115,0.3053820892257115,0.9688734914723148,0.9957356076759062,0.021321961620469,0.0042643923240938,469,467,10,2,0.997589780670041,0.0260303687635574,0.002410219329959
representative_main_scan,S01,0,Uniform,4,300;435;565;700,400,0,0,0.9069512862616312,0.3116320509885442,0.3116320509885442,0.9531934357656188,0.9983128464690288,0.1099060014461316,0.0016871535309713,4149,4142,456,7,0.3116320509885442,0.3116320509885442,0.9531934357656188,0.9983128464690288,0.1099060014461316,0.0016871535309713,4149,4142,456,7,,,,,,,0,0,0,0,0.9983128464690288,0.1099060014461316,0.0016871535309713
representative_main_scan,S01,0,Uniform,6,300;380;460;540;620;700,400,0,0,0.8582375478927203,0.2198197509475868,0.2198197509475868,0.9759571781574108,0.9983128464690288,0.0433839479392624,0.0016871535309713,4149,4142,180,7,0.2198197509475868,0.2198197509475868,0.9759571781574108,0.9983128464690288,0.0433839479392624,0.0016871535309713,4149,4142,180,7,,,,,,,0,0,0,0,0.9983128464690288,0.0433839479392624,0.0016871535309713
representative_main_scan,S15,14,NAIG,4,365;425;620;545,255,65,80,0.9376026272577996,0.1766449539832918,0.1766449539832919,0.9844587679552328,0.9681851048445408,0.0653169438418896,0.0318148951554591,4149,4017,271,132,0.172172562638406,0.172172562638406,0.9850922204803018,0.9912280701754386,0.0475146198830409,0.0087719298245614,2736,2712,130,24,0.1839390315117091,0.1839390315117091,0.9836960319581024,0.9235668789808916,0.0997876857749469,0.0764331210191082,1413,1305,141,108,0.9681851048445408,0.0653169438418896,0.0318148951554591
representative_main_scan,S15,14,NAIG,6,365;425;620;545;475;345,275,45,80,0.963327859879584,0.1823566308938013,0.1823566308938013,0.9848155846616012,0.9930103639431188,0.0361532899493853,0.0069896360568811,4149,4120,150,29,0.1809246453229032,0.1809246453229032,0.9849876295339268,0.9990112063282794,0.0187870797626895,0.0009887936717205,3034,3031,57,3,0.1856579473727382,0.1856579473727382,0.9844233455340649,0.9766816143497756,0.0834080717488789,0.0233183856502242,1115,1089,93,26,0.9930103639431188,0.0361532899493853,0.0069896360568811
representative_main_scan,S15,14,Uniform,4,300;435;565;700,400,0,0,0.9666119321291736,0.1642441327026003,0.1642441327026003,0.9865758515554546,0.9983128464690288,0.1099060014461316,0.0016871535309713,4149,4142,456,7,0.1642441327026003,0.1642441327026003,0.9865758515554546,0.9983128464690288,0.1099060014461316,0.0016871535309713,4149,4142,456,7,,,,,,,0,0,0,0,0.9983128464690288,0.1099060014461316,0.0016871535309713
representative_main_scan,S15,14,Uniform,6,300;380;460;540;620;700,400,0,0,0.9720853858784896,0.1563736326309432,0.1563736326309432,0.987702486568628,0.9983128464690288,0.0433839479392624,0.0016871535309713,4149,4142,180,7,0.1563736326309432,0.1563736326309432,0.987702486568628,0.9983128464690288,0.0433839479392624,0.0016871535309713,4149,4142,180,7,,,,,,,0,0,0,0,0.9983128464690288,0.0433839479392624,0.0016871535309713
representative_main_scan,S30,28,NAIG,4,365;425;480;620,255,65,80,0.9688013136289,0.182023956153644,0.182023956153644,0.9838172652272964,0.9681851048445408,0.0491684743311641,0.0318148951554591,4149,4017,204,132,0.1862749704776796,0.1862749704776797,0.9839319360626771,0.9912280701754386,0.0325292397660818,0.0087719298245614,2736,2712,89,24,0.1759804970503042,0.1759804970503042,0.984394857762734,0.9235668789808916,0.0813871196036801,0.0764331210191082,1413,1305,115,108,0.9681851048445408,0.0491684743311641,0.0318148951554591
representative_main_scan,S30,28,NAIG,6,365;425;480;620;545;330,290,30,80,0.9852216748768474,0.199916599096988,0.199916599096988,0.9814507127032264,0.9893950349481804,0.0212099301036394,0.0106049650518197,4149,4105,88,44,0.203301377169452,0.2033013771694521,0.9807571224646916,0.9957173447537472,0.0165188130926888,0.0042826552462526,3269,3255,54,14,0.1882452382951659,0.1882452382951659,0.9837495704642854,0.9659090909090908,0.0386363636363636,0.034090909090909,880,850,34,30,0.9893950349481804,0.0212099301036394,0.0106049650518197
