strategy,K,selected_ex,relative_frobenius_error_fullrange,spectral_cosine_fullrange,rho_structure
NAIG,2,425;360,0.3431711049907139,0.9420221537173884,0.9370552818828682
NAIG,3,425;360;620,0.3379452255587085,0.9443040161152336,0.9403393541324576
NAIG,4,425;360;620;500,0.3420752980869568,0.9439581438091406,0.9354132457580736
NAIG,6,425;360;620;500;465;305,0.3345113561969025,0.943615809779028,0.9239189928845104
NAIG,8,425;360;620;500;465;305;540;660,0.3369521676841719,0.9415876295387926,0.9195402298850576
Uniform,2,300;700,0.327355263442868,0.950043523151404,0.7203065134099618
Uniform,3,300;500;700,0.3075768474512234,0.9574818961531436,0.8171866447728517
Uniform,4,300;435;565;700,0.3116320509885442,0.9531934357656188,0.9069512862616312
Uniform,6,300;380;460;540;620;700,0.2198197509475868,0.9759571781574108,0.8582375478927203
Uniform,8,300;355;415;470;530;585;645;700,0.1868636258078168,0.982578552736072,0.949096880131363
NAIG,2,365;620,0.2865436128203683,0.9581198508447448,0.9578544061302684
NAIG,3,365;620;450,0.2894734227446678,0.957471065512639,0.8741105637657363
NAIG,4,365;620;450;695,0.2866160834275745,0.9582257302870886,0.875752599890531
NAIG,6,365;620;450;695;545;425,0.7306087894888652,0.8617272759531899,0.9469074986316368
NAIG,8,365;620;450;695;545;425;475;505,0.2837860306826524,0.9588956932628888,0.94471811713191
Uniform,2,300;700,0.2825756611006206,0.9619646347128836,0.878489326765189
Uniform,3,300;500;700,0.2693050395279905,0.9664143333877,0.929392446633826
Uniform,4,300;435;565;700,0.2609068451443687,0.9654460085729322,0.955665024630542
Uniform,6,300;380;460;540;620;700,0.2098097858918697,0.978491424264273,0.9753694581280788
Uniform,8,300;355;415;470;530;585;645;700,0.1943415179946331,0.98162947514538,0.9863163656267104
NAIG,2,470;545,0.7777479969515391,0.8682671970964001,0.3979200875752601
NAIG,3,470;545;620,0.6101602573885209,0.901778812704232,0.4094143404488232
NAIG,4,470;545;620;425,0.714717812047796,0.8499694839673033,0.6568144499178982
NAIG,6,470;545;620;425;375;305,0.4848634815444094,0.8749997844845245,0.935960591133005
NAIG,8,470;545;620;425;375;305;445;675,0.7190610384657374,0.8662396281279222,0.929392446633826
Uniform,2,300;700,0.4622412057781667,0.8927509618719254,0.3349753694581281
Uniform,3,300;500;700,0.380832399630839,0.9247508769844942,0.8193760262725781
Uniform,4,300;435;565;700,0.3364728732957402,0.9457036006607438,0.9014778325123152
Uniform,6,300;380;460;540;620;700,0.1867008457860056,0.9824227513217736,0.9403393541324576
Uniform,8,300;355;415;470;530;585;645;700,0.1734598379912205,0.9863949282249332,0.9824849480021896
NAIG,2,425;360,0.5968085181717399,0.8368246058046837,0.9841269841269844
NAIG,3,425;360;620,0.59615131757843,0.8366339061732544,0.9868637110016422
NAIG,4,425;360;620;465,0.562933033246591,0.8438174701904086,0.9737274220032844
NAIG,6,425;360;620;465;545;525,0.5586938063392827,0.8443315730273279,0.9770114942528736
NAIG,8,425;360;620;465;545;525;505;695,0.5568845664047015,0.8447359383242781,0.9786535303776684
Uniform,2,300;700,0.4337658040580569,0.91473874584821,0.9064039408866996
Uniform,3,300;500;700,0.4339337273148649,0.9186975621832896,0.9682539682539684
Uniform,4,300;435;565;700,0.4423983051400265,0.917631260685178,0.9792008757526
Uniform,6,300;380;460;540;620;700,0.4250998923174594,0.912732612465352,0.9906951286261632
Uniform,8,300;355;415;470;530;585;645;700,0.3580493935409186,0.9349537912339788,0.9928845101258896
NAIG,2,365;620,0.2055627551062287,0.979450800830854,0.8385331143951834
NAIG,3,365;620;435,0.2030280463288714,0.9796244307389156,0.9627805145046526
NAIG,4,365;620;435;545,0.196102301381831,0.9808178535860872,0.9644225506294472
