site_id,strategy,K,selected_ex,rho_structure,relative_frobenius_error_fullrange,spectral_cosine_fullrange
S01,NAIG,2,425;360,0.9370552818828682,0.3431711049907139,0.9420221537173884
S01,NAIG,3,425;360;620,0.9403393541324576,0.3379452255587085,0.9443040161152336
S01,NAIG,4,425;360;620;500,0.9354132457580736,0.3420752980869568,0.9439581438091406
S01,NAIG,6,425;360;620;500;465;305,0.9239189928845104,0.3345113561969025,0.943615809779028
S01,NAIG,8,425;360;620;500;465;305;540;660,0.9195402298850576,0.3369521676841719,0.9415876295387926
S01,Uniform,2,300;700,0.7203065134099618,0.327355263442868,0.950043523151404
S01,Uniform,3,300;500;700,0.8171866447728517,0.3075768474512234,0.9574818961531436
S01,Uniform,4,300;435;565;700,0.9069512862616312,0.3116320509885442,0.9531934357656188
S01,Uniform,6,300;380;460;540;620;700,0.8582375478927203,0.2198197509475868,0.9759571781574108
S01,Uniform,8,300;355;415;470;530;585;645;700,0.949096880131363,0.1868636258078168,0.982578552736072
S02,NAIG,2,365;620,0.9578544061302684,0.2865436128203683,0.9581198508447448
S02,NAIG,3,365;620;450,0.8741105637657363,0.2894734227446678,0.957471065512639
S02,NAIG,4,365;620;450;695,0.875752599890531,0.2866160834275745,0.9582257302870886
S02,NAIG,6,365;620;450;695;545;425,0.9469074986316368,0.7306087894888652,0.8617272759531899
S02,NAIG,8,365;620;450;695;545;425;475;505,0.94471811713191,0.2837860306826524,0.9588956932628888
S02,Uniform,2,300;700,0.878489326765189,0.2825756611006206,0.9619646347128836
S02,Uniform,3,300;500;700,0.929392446633826,0.2693050395279905,0.9664143333877
S02,Uniform,4,300;435;565;700,0.955665024630542,0.2609068451443687,0.9654460085729322
S02,Uniform,6,300;380;460;540;620;700,0.9753694581280788,0.2098097858918697,0.978491424264273
S02,Uniform,8,300;355;415;470;530;585;645;700,0.9863163656267104,0.1943415179946331,0.98162947514538
S03,NAIG,2,470;545,0.3979200875752601,0.7777479969515391,0.8682671970964001
S03,NAIG,3,470;545;620,0.4094143404488232,0.6101602573885209,0.901778812704232
S03,NAIG,4,470;545;620;425,0.6568144499178982,0.714717812047796,0.8499694839673033
S03,NAIG,6,470;545;620;425;375;305,0.935960591133005,0.4848634815444094,0.8749997844845245
S03,NAIG,8,470;545;620;425;375;305;445;675,0.929392446633826,0.7190610384657374,0.8662396281279222
S03,Uniform,2,300;700,0.3349753694581281,0.4622412057781667,0.8927509618719254
S03,Uniform,3,300;500;700,0.8193760262725781,0.380832399630839,0.9247508769844942
