station,filename,full_repeat_ranking_rho,first_N_ge_0.90,passes_by3_0.90,first_N_ge_0.95,passes_by3_0.95,result_type,N_EX,selected_ex_nm,rho_vs_primary_full,rho_vs_repeat_full
S03,S03-2.csv,0.966064586754242,5,False,6,False,repeat_target,,,,
S04,S04-LONG-2.csv,0.9989053092501368,2,True,2,True,repeat_target,,,,
S06,S06-2.csv,0.6190476190476191,>8,False,>8,False,repeat_target,,,,
S07,S07-2.csv,0.8303229337712097,>8,False,>8,False,repeat_target,,,,
S19,S19-2.csv,0.9967159277504104,1,True,1,True,repeat_target,,,,
S19,S19-3_260827203412.csv,0.9983579638752054,1,True,1,True,repeat_target,,,,
S22,S22-2.csv,0.1078270388615216,>8,False,>8,False,repeat_target,,,,
S23,S23-2.csv,0.9140667761357416,6,False,>8,False,repeat_target,,,,
S03,S03-2.csv,0.966064586754242,,,,,repeat_substitution,1.0,470,0.5342090859332238,0.5188834154351395
S03,S03-2.csv,0.966064586754242,,,,,repeat_substitution,2.0,470;545,0.5402298850574713,0.5172413793103449
S03,S03-2.csv,0.966064586754242,,,,,repeat_substitution,3.0,470;545;620,0.565407772304324,0.531472359058566
S03,S03-2.csv,0.966064586754242,,,,,repeat_substitution,4.0,470;545;620;425,0.6776135741652982,0.6535303776683087
S03,S03-2.csv,0.966064586754242,,,,,repeat_substitution,5.0,470;545;620;425;375,0.9474548440065682,0.9365079365079364
S03,S03-2.csv,0.966064586754242,,,,,repeat_substitution,6.0,470;545;620;425;375;305,0.9594964422550628,0.9731800766283524
S03,S03-2.csv,0.966064586754242,,,,,repeat_substitution,7.0,470;545;620;425;375;305;445,0.9726327312534208,0.9688013136289
S03,S03-2.csv,0.966064586754242,,,,,repeat_substitution,8.0,470;545;620;425;375;305;445;675,0.9748221127531472,0.9666119321291736
S04,S04-LONG-2.csv,0.9989053092501368,,,,,repeat_substitution,1.0,425,0.735632183908046,0.7285166940339354
S04,S04-LONG-2.csv,0.9989053092501368,,,,,repeat_substitution,2.0,425;360,0.980295566502463,0.9792008757525996
S04,S04-LONG-2.csv,0.9989053092501368,,,,,repeat_substitution,3.0,425;360;620,0.981390257252326,0.981390257252326
S04,S04-LONG-2.csv,0.9989053092501368,,,,,repeat_substitution,4.0,425;360;620;465,0.973727422003284,0.9731800766283524
S04,S04-LONG-2.csv,0.9989053092501368,,,,,repeat_substitution,5.0,425;360;620;465;545,0.976464148877942,0.9759168035030104
S04,S04-LONG-2.csv,0.9989053092501368,,,,,repeat_substitution,6.0,425;360;620;465;545;525,0.9770114942528736,0.976464148877942
S04,S04-LONG-2.csv,0.9989053092501368,,,,,repeat_substitution,7.0,425;360;620;465;545;525;505,0.9759168035030104,0.9748221127531472
S04,S04-LONG-2.csv,0.9989053092501368,,,,,repeat_substitution,8.0,425;360;620;465;545;525;505;695,0.9759168035030104,0.9748221127531472
S06,S06-2.csv,0.6190476190476191,,,,,repeat_substitution,1.0,365,0.7044334975369457,0.9206349206349206
S06,S06-2.csv,0.6190476190476191,,,,,repeat_substitution,2.0,365;425,0.6995073891625616,0.8593322386425835
S06,S06-2.csv,0.6190476190476191,,,,,repeat_substitution,3.0,365;425;610,0.6354679802955665,0.9047619047619048
S06,S06-2.csv,0.6190476190476191,,,,,repeat_substitution,4.0,365;425;610;545,0.5922276956759714,0.92391899288451
S06,S06-2.csv,0.6190476190476191,,,,,repeat_substitution,5.0,365;425;610;545;505,0.5725232621784346,0.9282977558839628
S06,S06-2.csv,0.6190476190476191,,,,,repeat_substitution,6.0,365;425;610;545;505;450,0.6097427476737821,0.922824302134647
S06,S06-2.csv,0.6190476190476191,,,,,repeat_substitution,7.0,365;425;610;545;505;450;305,0.5987958401751505,0.9436234263820472
S06,S06-2.csv,0.6190476190476191,,,,,repeat_substitution,8.0,365;425;610;545;505;450;305;695,0.5922276956759714,0.9452654625068418
S07,S07-2.csv,0.8303229337712097,,,,,repeat_substitution,1.0,365,0.6891078270388615,0.9020251778872468
S07,S07-2.csv,0.8303229337712097,,,,,repeat_substitution,2.0,365;425,0.7662835249042145,0.9518336070060208
S07,S07-2.csv,0.8303229337712097,,,,,repeat_substitution,3.0,365;425;480,0.7706622879036672,0.952928297755884
S07,S07-2.csv,0.8303229337712097,,,,,repeat_substitution,4.0,365;425;480;575,0.7728516694033934,0.9567597153804048
S07,S07-2.csv,0.8303229337712097,,,,,repeat_substitution,5.0,365;425;480;575;510,0.7755883962780514,0.9578544061302682
S07,S07-2.csv,0.8303229337712097,,,,,repeat_substitution,6.0,365;425;480;575;510;305,0.7723043240284619,0.9698960043787628
S07,S07-2.csv,0.8303229337712097,,,,,repeat_substitution,7.0,365;425;480;575;510;305;695,0.7690202517788725,0.9677066228790366
S07,S07-2.csv,0.8303229337712097,,,,,repeat_substitution,8.0,365;425;480;575;510;305;695;625,0.7755883962780514,0.976464148877942
S19,S19-2.csv,0.9967159277504104,,,,,repeat_substitution,1.0,325,0.9770114942528736,0.9819376026272578
S19,S19-2.csv,0.9967159277504104,,,,,repeat_substitution,2.0,325;410,0.975369458128079,0.9731800766283524
S19,S19-2.csv,0.9967159277504104,,,,,repeat_substitution,3.0,325;410;610,0.9846743295019156,0.9846743295019156
S19,S19-2.csv,0.9967159277504104,,,,,repeat_substitution,4.0,325;410;610;475,0.9808429118773946,0.9841269841269842
S19,S19-2.csv,0.9967159277504104,,,,,repeat_substitution,5.0,325;410;610;475;365,0.9885057471264368,0.990695128626163
S19,S19-2.csv,0.9967159277504104,,,,,repeat_substitution,6.0,325;410;610;475;365;495,0.9928845101258894,0.9956212370005472
S19,S19-2.csv,0.9967159277504104,,,,,repeat_substitution,7.0,325;410;610;475;365;495;305,0.9917898193760264,0.9939792008757526
S19,S19-2.csv,0.9967159277504104,,,,,repeat_substitution,8.0,325;410;610;475;365;495;305;700,0.9939792008757526,0.994526546250684
S19,S19-3_260827203412.csv,0.9983579638752054,,,,,repeat_substitution,1.0,325,0.9649698960043788,0.9666119321291736
S19,S19-3_260827203412.csv,0.9983579638752054,,,,,repeat_substitution,2.0,325;410,0.9748221127531472,0.9748221127531472
S19,S19-3_260827203412.csv,0.9983579638752054,,,,,repeat_substitution,3.0,325;410;610,0.9797482211275316,0.980295566502463
S19,S19-3_260827203412.csv,0.9983579638752054,,,,,repeat_substitution,4.0,325;410;610;475,0.9781061850027366,0.981390257252326
S19,S19-3_260827203412.csv,0.9983579638752054,,,,,repeat_substitution,5.0,325;410;610;475;365,0.9885057471264368,0.990695128626163
S19,S19-3_260827203412.csv,0.9983579638752054,,,,,repeat_substitution,6.0,325;410;610;475;365;495,0.9896004378763,0.9923371647509576
S19,S19-3_260827203412.csv,0.9983579638752054,,,,,repeat_substitution,7.0,325;410;610;475;365;495;305,0.9928845101258894,0.994526546250684
S19,S19-3_260827203412.csv,0.9983579638752054,,,,,repeat_substitution,8.0,325;410;610;475;365;495;305;700,0.9928845101258894,0.994526546250684
S22,S22-2.csv,0.1078270388615216,,,,,repeat_substitution,1.0,365,0.0815544608648056,0.8746579091406678
S22,S22-2.csv,0.1078270388615216,,,,,repeat_substitution,2.0,365;695,0.0717022441160372,0.883415435139573
S22,S22-2.csv,0.1078270388615216,,,,,repeat_substitution,3.0,365;695;425,0.0481663929939792,0.9321291735084838
S22,S22-2.csv,0.1078270388615216,,,,,repeat_substitution,4.0,365;695;425;545,0.070607553366174,0.9458128078817736
S22,S22-2.csv,0.1078270388615216,,,,,repeat_substitution,5.0,365;695;425;545;480,0.0114942528735632,0.9611384783798578
S22,S22-2.csv,0.1078270388615216,,,,,repeat_substitution,6.0,365;695;425;545;480;620,0.0153256704980842,0.962233169129721
S22,S22-2.csv,0.1078270388615216,,,,,repeat_substitution,7.0,365;695;425;545;480;620;315,0.0717022441160372,0.9534756431308156
S22,S22-2.csv,0.1078270388615216,,,,,repeat_substitution,8.0,365;695;425;545;480;620;315;335,0.0503557744937055,0.937055281882868
S23,S23-2.csv,0.9140667761357416,,,,,repeat_substitution,1.0,400,0.8461959496442255,0.8347016967706623
S23,S23-2.csv,0.9140667761357416,,,,,repeat_substitution,2.0,400;660,0.8724685276409413,0.886152162014231
S23,S23-2.csv,0.9140667761357416,,,,,repeat_substitution,3.0,400;660;620,0.8752052545155994,0.8932676518883416
S23,S23-2.csv,0.9140667761357416,,,,,repeat_substitution,4.0,400;660;620;535,0.883415435139573,0.926655719759168
S23,S23-2.csv,0.9140667761357416,,,,,repeat_substitution,5.0,400;660;620;535;365,0.8943623426382047,0.9573070607553366
S23,S23-2.csv,0.9140667761357416,,,,,repeat_substitution,6.0,400;660;620;535;365;435,0.9140667761357416,0.975369458128079
S23,S23-2.csv,0.9140667761357416,,,,,repeat_substitution,7.0,400;660;620;535;365;435;695,0.9168035030103996,0.973727422003284
S23,S23-2.csv,0.9140667761357416,,,,,repeat_substitution,8.0,400;660;620;535;365;435;695;505,0.920087575259989,0.9748221127531472
