source_file,environment_variable,environment_label,K,outcome,loss_definition,spearman_rho,p_value,n,family,q_value_bh,proxy,analysis_type,group,rho_s,turbidity_median,rho_median,rho_P10,rho_range_min,rho_range_max,rho_IQR,term,rho_or_beta,model_R2,permutation_p,n_sites,n_pairs,n_permutations,permutation_scheme,standardized_beta,predictor_distance_pearson,predictor_distance_spearman,vif_chlorophyll,vif_turbidity,condition_number,permutation_beta_low_2.5pct,permutation_beta_high_97.5pct
environment_vs_sparse_loss.csv,water_temp_c,water temperature,1.0,loss_K1,loss_K = 1 - rho_K,0.0689655172414,0.72223159733,29.0,environment_vs_sparse_loss,0.817070089909,,,,,,,,,,,,,,,,,,,,,,,,,,
environment_vs_sparse_loss.csv,ph,pH,1.0,loss_K1,loss_K = 1 - rho_K,0.0441104045687,0.820265640858,29.0,environment_vs_sparse_loss,0.897406337064,,,,,,,,,,,,,,,,,,,,,,,,,,
environment_vs_sparse_loss.csv,orp_mv,ORP,1.0,loss_K1,loss_K = 1 - rho_K,-0.127528506718,0.509733141415,29.0,environment_vs_sparse_loss,0.722659643525,,,,,,,,,,,,,,,,,,,,,,,,,,
environment_vs_sparse_loss.csv,ec_comp_mscm,temperature-compensated EC,1.0,loss_K1,loss_K = 1 - rho_K,0.468776946529,0.010315831988,29.0,environment_vs_sparse_loss,0.328320335859,,,,,,,,,,,,,,,,,,,,,,,,,,
environment_vs_sparse_loss.csv,salinity_ppt,salinity,1.0,loss_K1,loss_K = 1 - rho_K,0.431527093596,0.0194196706662,29.0,environment_vs_sparse_loss,0.350307390308,,,,,,,,,,,,,,,,,,,,,,,,,,
environment_vs_sparse_loss.csv,do_sat_pct,DO saturation,1.0,loss_K1,loss_K = 1 - rho_K,-0.0950738916256,0.623722573659,29.0,environment_vs_sparse_loss,0.767658552196,,,,,,,,,,,,,,,,,,,,,,,,,,
environment_vs_sparse_loss.csv,do_mgl,DO concentration,1.0,loss_K1,loss_K = 1 - rho_K,-0.0428571428571,0.825293327835,29.0,environment_vs_sparse_loss,0.897406337064,,,,,,,,,,,,,,,,,,,,,,,,,,
environment_vs_sparse_loss.csv,field_chlorophyll_proxy,field chlorophyll proxy,1.0,loss_K1,loss_K = 1 - rho_K,-0.122167487685,0.527828083508,29.0,environment_vs_sparse_loss,0.738959316911,,,,,,,,,,,,,,,,,,,,,,,,,,
environment_vs_sparse_loss.csv,turbidity_recorded_value,turbidity recorded value,1.0,loss_K1,loss_K = 1 - rho_K,-0.168472906404,0.38232784647,29.0,environment_vs_sparse_loss,0.690656754914,,,,,,,,,,,,,,,,,,,,,,,,,,
environment_vs_sparse_loss.csv,nh3_ugl,NH3,1.0,loss_K1,loss_K = 1 - rho_K,-0.118226600985,0.541323578814,29.0,environment_vs_sparse_loss,0.748496800335,,,,,,,,,,,,,,,,,,,,,,,,,,
