spacing_nm,N_EX,median_rho,p10_rho,minimum_rho,IQR_rho,count_ge_090,count_ge_095,n
10,1,0.8784893267651886,0.7576354679802956,0.2703886152162014,0.1565407772304323,12,5,29
10,2,0.9430760810071156,0.8354679802955666,0.3979200875752601,0.0503557744937057,23,10,29
10,3,0.9540229885057472,0.8604269293924467,0.4094143404488232,0.0290093048713737,24,19,29
10,4,0.9562123700054737,0.8849480021893815,0.6568144499178982,0.0317460317460316,24,17,29
10,5,0.950191570881226,0.8987411056376574,0.8762999452654625,0.0410509031198687,25,15,29
10,6,0.9534756431308156,0.9265462506841818,0.8768472906403941,0.0279146141215106,28,19,29
10,7,0.9611384783798578,0.927640941434045,0.9096880131362892,0.0317460317460318,29,19,29
10,8,0.960591133004926,0.9411056376573618,0.9053092501368364,0.0251778872468527,29,21,29
20,1,0.8784893267651886,0.7576354679802956,0.2703886152162014,0.1565407772304323,12,5,29
20,2,0.9430760810071156,0.8354679802955666,0.3979200875752601,0.0503557744937057,23,10,29
20,3,0.9540229885057472,0.8604269293924467,0.4094143404488232,0.0290093048713737,24,19,29
20,4,0.9562123700054737,0.8849480021893815,0.6568144499178982,0.0317460317460316,24,17,29
20,5,0.9507389162561576,0.8987411056376574,0.8762999452654625,0.0410509031198687,25,16,29
20,6,0.9540229885057474,0.9350848385331144,0.9239189928845104,0.0328407224958948,29,19,29
20,7,0.966064586754242,0.9357416529830322,0.916256157635468,0.0290093048713736,29,21,29
20,8,0.970990695128626,0.9416529830322934,0.9195402298850576,0.0251778872468525,29,24,29
30,1,0.8784893267651886,0.7576354679802956,0.2703886152162014,0.1565407772304323,12,5,29
30,2,0.9430760810071156,0.8354679802955666,0.3979200875752601,0.0503557744937057,23,10,29
30,3,0.9540229885057472,0.8604269293924467,0.4094143404488232,0.0290093048713737,24,19,29
30,4,0.9562123700054737,0.8849480021893815,0.6568144499178982,0.0317460317460316,24,17,29
30,5,0.9518336070060208,0.8987411056376574,0.8762999452654625,0.0361247947454844,25,17,29
30,6,0.9545703338806788,0.926984126984127,0.9047619047619048,0.0306513409961685,29,20,29
30,7,0.9611384783798576,0.9315818281335524,0.916256157635468,0.0317460317460318,29,21,29
30,8,0.9709906951286262,0.9330049261083744,0.9195402298850572,0.025725232621784,29,25,29
