strategy,K,n_sites,relative_frobenius_error_supported_full_domain_median,relative_frobenius_error_supported_full_domain_p10,relative_frobenius_error_supported_full_domain_worst,relative_frobenius_error_supported_full_domain_iqr,relative_frobenius_error_supported_full_domain_mean,spectral_cosine_supported_full_domain_median,spectral_cosine_supported_full_domain_p10,spectral_cosine_supported_full_domain_worst,spectral_cosine_supported_full_domain_iqr,spectral_cosine_supported_full_domain_mean,relative_frobenius_error_supported_interpolation_domain_median,relative_frobenius_error_supported_interpolation_domain_p10,relative_frobenius_error_supported_interpolation_domain_worst,relative_frobenius_error_supported_interpolation_domain_iqr,relative_frobenius_error_supported_interpolation_domain_mean,spectral_cosine_supported_interpolation_domain_median,spectral_cosine_supported_interpolation_domain_p10,spectral_cosine_supported_interpolation_domain_worst,spectral_cosine_supported_interpolation_domain_iqr,spectral_cosine_supported_interpolation_domain_mean,reconstruction_supported_fraction_full_domain_median,single_support_fraction_full_domain_median,unsupported_fraction_full_domain_median,reconstruction_supported_fraction_interpolation_domain_median,unsupported_fraction_interpolation_domain_median,rho_structure_median,rho_structure_min,rho_ge_0.90
NAIG,2,29,0.2452138301323595,0.1845896355076466,0.7777479969515391,0.1341459301112867,0.3166028995483374,0.9701265846523148,0.8363337923103931,0.7569746694220071,0.0344123137726328,0.9446499982849894,0.2296125169687946,0.1685948920310792,0.6804181979831861,0.1343042283718571,0.292260677785417,0.977091069620364,0.8820591873938533,0.7813734765767385,0.0213339455796772,0.9575221291431956,0.9681851048445408,0.190407327066763,0.0318148951554591,0.9733036707452726,0.0266963292547274,0.9430760810071156,0.3979200875752601,23
NAIG,3,29,0.2463179240770203,0.1833976781251516,0.6848498063105026,0.1081547337370847,0.3032033036515265,0.9698673569407376,0.8547873641453223,0.7705168024217488,0.0263822100854334,0.9480846896819664,0.2482279738862252,0.1774207292279324,0.7845629994968671,0.1215944803567117,0.3054004110770816,0.9744812829623596,0.884174878111553,0.8064906321805834,0.0307765878081507,0.9545204035392426,0.9681851048445408,0.0653169438418896,0.0318148951554591,0.9891402714932128,0.0108597285067873,0.9540229885057472,0.4094143404488232,24
NAIG,4,29,0.2456662717657157,0.1805195471892265,0.714717812047796,0.0991512535430002,0.3044925860028865,0.9717413838756668,0.8487390812119244,0.7697872047790265,0.0252438991626363,0.9468188117458008,0.2455514916738863,0.1742036055571631,0.7069297094929212,0.1352419610860215,0.3003237736130877,0.9735879438913884,0.8879880628510471,0.8089341725804857,0.0317761428479105,0.9530902439387724,0.9681851048445408,0.0491684743311641,0.0318148951554591,0.9912280701754386,0.0087719298245614,0.9562123700054737,0.6568144499178982,24
NAIG,6,29,0.2708694688146857,0.1967398582783015,0.7306087894888652,0.1348535149520352,0.3257758884708719,0.9681656653258284,0.8582481353680175,0.7988341802038599,0.0356887907841246,0.9441738551009976,0.2772638085377814,0.1968465300781691,0.8590136410633583,0.1576428726938418,0.3271415432613722,0.9688488243729478,0.8756112272897175,0.8411315712931892,0.0354777537292525,0.9479229191364926,0.9893950349481804,0.0262713906965533,0.0106049650518197,0.9957173447537472,0.0042826552462526,0.9540229885057474,0.9239189928845104,29
NAIG,8,29,0.2605050909817522,0.1915533926183396,0.7190610384657374,0.1277100084723541,0.314852231709778,0.970080878154002,0.8399767455647867,0.7623170228204911,0.0391839800047503,0.9428845286311046,0.2620832213489939,0.1867165585109853,0.7182776035609115,0.1499632369484993,0.3136332456159479,0.9668959273367204,0.8662501046377526,0.7716587862627801,0.0397828933702665,0.9462120981296848,0.9910821884791516,0.019763798505664,0.0089178115208483,0.9961182442520156,0.0038817557479844,0.970990695128626,0.9195402298850576,29
Uniform,2,29,0.2738578661277893,0.204473706661212,0.662074646325469,0.1009536007156179,0.3134608398152471,0.9642711187497092,0.8788532372549743,0.7628724092048386,0.0264533502590281,0.9430305335795308,0.2738578661277893,0.204473706661212,0.662074646325469,0.1009536007156179,0.3134608398152471,0.9642711187497092,0.8788532372549743,0.7628724092048386,0.0264533502590281,0.9430305335795308,0.9115449505905038,0.606411183417691,0.0884550494094962,0.9115449505905038,0.0884550494094962,0.8160919540229885,0.3349753694581281,3
Uniform,3,29,0.2572379138865162,0.1824238249161266,0.6437700972203241,0.1012086213230325,0.2958424709055011,0.9709158932662498,0.9023694899310924,0.7820889947878827,0.0260793851909432,0.9500140654156064,0.2572379138865162,0.1824238249161266,0.6437700972203241,0.1012086213230325,0.2958424709055011,0.9709158932662498,0.9023694899310924,0.7820889947878827,0.0260793851909432,0.9500140654156064,0.9363702096890816,0.1877560858038081,0.0636297903109183,0.9363702096890816,0.0636297903109183,0.9129720853858784,0.8171866447728517,20
Uniform,4,29,0.2637237504303027,0.1863573290110141,0.6398349795176516,0.0999544939384514,0.2973891125204259,0.9680782169563976,0.9001903947402187,0.7708309291668166,0.027448202242487,0.9480630453216228,0.2637237504303027,0.1863573290110141,0.6398349795176516,0.0999544939384514,0.2973891125204259,0.9680782169563976,0.9001903947402187,0.7708309291668166,0.027448202242487,0.9480630453216228,0.9983128464690288,0.1099060014461316,0.0016871535309713,0.9983128464690288,0.0016871535309713,0.9589490968801314,0.9014778325123152,29
Uniform,6,29,0.2198197509475868,0.1776898782222064,0.5742383875419789,0.0815683552583435,0.2607391286636269,0.9759571781574108,0.906777661818186,0.8212778860219655,0.0181479691262722,0.9593812554216068,0.2198197509475868,0.1776898782222064,0.5742383875419789,0.0815683552583435,0.2607391286636269,0.9759571781574108,0.906777661818186,0.8212778860219655,0.0181479691262722,0.9593812554216068,0.9983128464690288,0.0433839479392624,0.0016871535309713,0.9983128464690288,0.0016871535309713,0.9715380405035576,0.8582375478927203,28
Uniform,8,29,0.1919923637146827,0.1599341499066253,0.5493426874227995,0.0696895775801024,0.2342130597792439,0.9817267040528744,0.9249070946384316,0.8358212260565356,0.0139365298097773,0.9659236164610568,0.1919923637146827,0.1599341499066253,0.5493426874227995,0.0696895775801024,0.2342130597792439,0.9817267040528744,0.9249070946384316,0.8358212260565356,0.0139365298097773,0.9659236164610568,0.9983128464690288,0.0236201494335984,0.0016871535309713,0.9983128464690288,0.0016871535309713,0.9868637110016422,0.949096880131363,29
