N_EX,half_window_nm,median_rho,median_paired_delta,minimum_paired_delta,spacing_nm,p10_rho,minimum_rho,IQR_rho,count_ge_090,count_ge_095,n
1,5.0,0.9053092501368364,0.0218938149972635,-0.0394088669950738,,,,,,,
1,10.0,0.9206349206349208,0.027367268746579,-0.0202517788724685,,,,,,,
2,5.0,0.962233169129721,0.0175150519978105,-0.0016420361247947,,,,,,,
2,10.0,0.9677066228790367,0.024630541871921,-0.0103995621237,,,,,,,
3,5.0,0.9704433497536944,0.0142309797482211,-0.0005473453749315,,,,,,,
3,10.0,0.972632731253421,0.0191570881226054,-0.0027367268746579,,,,,,,
4,5.0,0.9709906951286263,0.0175150519978107,-0.0437876299945264,,,,,,,
4,10.0,0.9742747673782156,0.023535851122058,-0.0372194854953473,,,,,,,
5,5.0,0.9682539682539684,0.015873015873016,-0.0054734537493159,,,,,,,
5,10.0,0.9742747673782156,0.0224411603721947,-0.0043787629994527,,,,,,,
6,5.0,0.976464148877942,0.0114942528735632,-0.0060207991242474,,,,,,,
6,10.0,0.9802955665024632,0.0197044334975369,-0.0071154898741105,,,,,,,
7,5.0,0.9775588396278052,0.0109469074986315,0.0010946907498631,,,,,,,
7,10.0,0.983032293377121,0.0147783251231528,-0.0016420361247946,,,,,,,
8,5.0,0.9792008757525998,0.0087575259989053,-0.0060207991242472,,,,,,,
8,10.0,0.9852216748768472,0.0142309797482209,-0.0016420361247945,,,,,,,
1,,0.8784893267651886,,,10.0,0.7576354679802956,0.2703886152162014,0.1565407772304323,12.0,5.0,29.0
2,,0.9430760810071156,,,10.0,0.8354679802955666,0.3979200875752601,0.0503557744937057,23.0,10.0,29.0
3,,0.9540229885057472,,,10.0,0.8604269293924467,0.4094143404488232,0.0290093048713737,24.0,19.0,29.0
4,,0.9562123700054737,,,10.0,0.8849480021893815,0.6568144499178982,0.0317460317460316,24.0,17.0,29.0
5,,0.950191570881226,,,10.0,0.8987411056376574,0.8762999452654625,0.0410509031198687,25.0,15.0,29.0
6,,0.9534756431308156,,,10.0,0.9265462506841818,0.8768472906403941,0.0279146141215106,28.0,19.0,29.0
7,,0.9611384783798578,,,10.0,0.927640941434045,0.9096880131362892,0.0317460317460318,29.0,19.0,29.0
8,,0.960591133004926,,,10.0,0.9411056376573618,0.9053092501368364,0.0251778872468527,29.0,21.0,29.0
1,,0.8784893267651886,,,20.0,0.7576354679802956,0.2703886152162014,0.1565407772304323,12.0,5.0,29.0
2,,0.9430760810071156,,,20.0,0.8354679802955666,0.3979200875752601,0.0503557744937057,23.0,10.0,29.0
3,,0.9540229885057472,,,20.0,0.8604269293924467,0.4094143404488232,0.0290093048713737,24.0,19.0,29.0
4,,0.9562123700054737,,,20.0,0.8849480021893815,0.6568144499178982,0.0317460317460316,24.0,17.0,29.0
5,,0.9507389162561576,,,20.0,0.8987411056376574,0.8762999452654625,0.0410509031198687,25.0,16.0,29.0
6,,0.9540229885057474,,,20.0,0.9350848385331144,0.9239189928845104,0.0328407224958948,29.0,19.0,29.0
7,,0.966064586754242,,,20.0,0.9357416529830322,0.916256157635468,0.0290093048713736,29.0,21.0,29.0
8,,0.970990695128626,,,20.0,0.9416529830322934,0.9195402298850576,0.0251778872468525,29.0,24.0,29.0
1,,0.8784893267651886,,,30.0,0.7576354679802956,0.2703886152162014,0.1565407772304323,12.0,5.0,29.0
2,,0.9430760810071156,,,30.0,0.8354679802955666,0.3979200875752601,0.0503557744937057,23.0,10.0,29.0
3,,0.9540229885057472,,,30.0,0.8604269293924467,0.4094143404488232,0.0290093048713737,24.0,19.0,29.0
4,,0.9562123700054737,,,30.0,0.8849480021893815,0.6568144499178982,0.0317460317460316,24.0,17.0,29.0
5,,0.9518336070060208,,,30.0,0.8987411056376574,0.8762999452654625,0.0361247947454844,25.0,17.0,29.0
6,,0.9545703338806788,,,30.0,0.926984126984127,0.9047619047619048,0.0306513409961685,29.0,20.0,29.0
7,,0.9611384783798576,,,30.0,0.9315818281335524,0.916256157635468,0.0317460317460318,29.0,21.0,29.0
8,,0.9709906951286262,,,30.0,0.9330049261083744,0.9195402298850572,0.025725232621784,29.0,25.0,29.0
